idn,type,src,dst,period,error,cktElement,cktTerminal,cktPhase,cktProperty
002073,smartmeter,2073,1,100,0.0001667,Load.2073.3,BUS1,PHASE_3,None
002074,smartmeter,2074,1,100,0.0001667,Load.2074.3,BUS1,PHASE_3,None
002075,smartmeter,2075,1,100,0.0001667,Load.2075.1,BUS1,PHASE_1,None
002076,smartmeter,2076,1,100,0.0001667,Load.2076.1,BUS1,PHASE_1,None
002077,smartmeter,2077,1,100,0.0001667,Load.2077.1,BUS1,PHASE_1,None
002078,smartmeter,2078,1,100,0.0001667,Load.2078.2,BUS1,PHASE_2,None
002079,smartmeter,2079,1,100,0.0001667,Load.2079.3,BUS1,PHASE_3,None
002080,smartmeter,2080,1,100,0.0001667,Load.2080.1,BUS1,PHASE_1,None
002081,smartmeter,2081,1,100,0.0001667,Load.2081.2,BUS1,PHASE_2,None
002082,smartmeter,2082,1,100,0.0001667,Load.2082.3,BUS1,PHASE_3,None
002083,smartmeter,2083,1,100,0.0001667,Load.2083.3,BUS1,PHASE_3,None
002084,smartmeter,2084,1,100,0.0001667,Load.2084.1,BUS1,PHASE_1,None
002085,smartmeter,2085,1,100,0.0001667,Load.2085.1,BUS1,PHASE_1,None
002086,smartmeter,2086,1,100,0.0001667,Load.2086.1,BUS1,PHASE_1,None
002087,smartmeter,2087,1,100,0.0001667,Load.2087.3,BUS1,PHASE_3,None
002088,smartmeter,2088,1,100,0.0001667,Load.2088.3,BUS1,PHASE_3,None
002089,smartmeter,2089,1,100,0.0001667,Load.2089.1,BUS1,PHASE_1,None
002090,smartmeter,2090,1,100,0.0001667,Load.2090.2,BUS1,PHASE_2,None
002091,smartmeter,2091,1,100,0.0001667,Load.2091.2,BUS1,PHASE_2,None
002092,smartmeter,2092,1,100,0.0001667,Load.2092.2,BUS1,PHASE_2,None
002093,smartmeter,2093,1,100,0.0001667,Load.2093.2,BUS1,PHASE_2,None
002094,smartmeter,2094,1,100,0.0001667,Load.2094.3,BUS1,PHASE_3,None
002095,smartmeter,2095,1,100,0.0001667,Load.2095.2,BUS1,PHASE_2,None
002096,smartmeter,2096,1,100,0.0001667,Load.2096.2,BUS1,PHASE_2,None
002097,smartmeter,2097,1,100,0.0001667,Load.2097.3,BUS1,PHASE_3,None
002098,smartmeter,2098,1,100,0.0001667,Load.2098.3,BUS1,PHASE_3,None
002099,smartmeter,2099,1,100,0.0001667,Load.2099.2,BUS1,PHASE_2,None
002100,smartmeter,2100,1,100,0.0001667,Load.2100.2,BUS1,PHASE_2,None
002101,smartmeter,2101,1,100,0.0001667,Load.2101.1,BUS1,PHASE_1,None
002102,smartmeter,2102,1,100,0.0001667,Load.2102.3,BUS1,PHASE_3,None
002103,smartmeter,2103,1,100,0.0001667,Load.2103.1,BUS1,PHASE_1,None
002104,smartmeter,2104,1,100,0.0001667,Load.2104.1,BUS1,PHASE_1,None
002105,smartmeter,2105,1,100,0.0001667,Load.2105.2,BUS1,PHASE_2,None
002106,smartmeter,2106,1,100,0.0001667,Load.2106.1,BUS1,PHASE_1,None
002107,smartmeter,2107,1,100,0.0001667,Load.2107.1,BUS1,PHASE_1,None
002108,smartmeter,2108,1,100,0.0001667,Load.2108.2,BUS1,PHASE_2,None
002109,smartmeter,2109,1,100,0.0001667,Load.2109.1,BUS1,PHASE_1,None
002110,smartmeter,2110,1,100,0.0001667,Load.2110.1,BUS1,PHASE_1,None
003056,smartmeter,3056,1,100,0.0001667,Load.3056.1,BUS1,PHASE_1,None
003057,smartmeter,3057,1,100,0.0001667,Load.3057.2,BUS1,PHASE_2,None
003058,smartmeter,3058,1,100,0.0001667,Load.3058.1,BUS1,PHASE_1,None
003059,smartmeter,3059,1,100,0.0001667,Load.3059.1,BUS1,PHASE_1,None
003060,smartmeter,3060,1,100,0.0001667,Load.3060.1,BUS1,PHASE_1,None
003061,smartmeter,3061,1,100,0.0001667,Load.3061.2,BUS1,PHASE_2,None
003062,smartmeter,3062,1,100,0.0001667,Load.3062.2,BUS1,PHASE_2,None
003063,smartmeter,3063,1,100,0.0001667,Load.3063.3,BUS1,PHASE_3,None
003064,smartmeter,3064,1,100,0.0001667,Load.3064.1,BUS1,PHASE_1,None
003065,smartmeter,3065,1,100,0.0001667,Load.3065.2,BUS1,PHASE_2,None
003066,smartmeter,3066,1,100,0.0001667,Load.3066.2,BUS1,PHASE_2,None
003067,smartmeter,3067,1,100,0.0001667,Load.3067.3,BUS1,PHASE_3,None
003068,smartmeter,3068,1,100,0.0001667,Load.3068.2,BUS1,PHASE_2,None
003069,smartmeter,3069,1,100,0.0001667,Load.3069.1,BUS1,PHASE_1,None
003070,smartmeter,3070,1,100,0.0001667,Load.3070.2,BUS1,PHASE_2,None
003071,smartmeter,3071,1,100,0.0001667,Load.3071.3,BUS1,PHASE_3,None
003072,smartmeter,3072,1,100,0.0001667,Load.3072.3,BUS1,PHASE_3,None
003073,smartmeter,3073,1,100,0.0001667,Load.3073.3,BUS1,PHASE_3,None
003074,smartmeter,3074,1,100,0.0001667,Load.3074.3,BUS1,PHASE_3,None
003075,smartmeter,3075,1,100,0.0001667,Load.3075.1,BUS1,PHASE_1,None
003076,smartmeter,3076,1,100,0.0001667,Load.3076.1,BUS1,PHASE_1,None
003077,smartmeter,3077,1,100,0.0001667,Load.3077.1,BUS1,PHASE_1,None
003078,smartmeter,3078,1,100,0.0001667,Load.3078.2,BUS1,PHASE_2,None
003079,smartmeter,3079,1,100,0.0001667,Load.3079.3,BUS1,PHASE_3,None
003080,smartmeter,3080,1,100,0.0001667,Load.3080.1,BUS1,PHASE_1,None
003081,smartmeter,3081,1,100,0.0001667,Load.3081.2,BUS1,PHASE_2,None
003082,smartmeter,3082,1,100,0.0001667,Load.3082.3,BUS1,PHASE_3,None
003083,smartmeter,3083,1,100,0.0001667,Load.3083.3,BUS1,PHASE_3,None
003084,smartmeter,3084,1,100,0.0001667,Load.3084.1,BUS1,PHASE_1,None
003085,smartmeter,3085,1,100,0.0001667,Load.3085.1,BUS1,PHASE_1,None
003086,smartmeter,3086,1,100,0.0001667,Load.3086.1,BUS1,PHASE_1,None
003087,smartmeter,3087,1,100,0.0001667,Load.3087.3,BUS1,PHASE_3,None
003088,smartmeter,3088,1,100,0.0001667,Load.3088.3,BUS1,PHASE_3,None
003089,smartmeter,3089,1,100,0.0001667,Load.3089.1,BUS1,PHASE_1,None
003090,smartmeter,3090,1,100,0.0001667,Load.3090.2,BUS1,PHASE_2,None
003091,smartmeter,3091,1,100,0.0001667,Load.3091.2,BUS1,PHASE_2,None
003092,smartmeter,3092,1,100,0.0001667,Load.3092.2,BUS1,PHASE_2,None
003093,smartmeter,3093,1,100,0.0001667,Load.3093.2,BUS1,PHASE_2,None
003094,smartmeter,3094,1,100,0.0001667,Load.3094.3,BUS1,PHASE_3,None
003095,smartmeter,3095,1,100,0.0001667,Load.3095.2,BUS1,PHASE_2,None
003096,smartmeter,3096,1,100,0.0001667,Load.3096.2,BUS1,PHASE_2,None
003097,smartmeter,3097,1,100,0.0001667,Load.3097.3,BUS1,PHASE_3,None
003098,smartmeter,3098,1,100,0.0001667,Load.3098.3,BUS1,PHASE_3,None
003099,smartmeter,3099,1,100,0.0001667,Load.3099.2,BUS1,PHASE_2,None
003100,smartmeter,3100,1,100,0.0001667,Load.3100.2,BUS1,PHASE_2,None
003101,smartmeter,3101,1,100,0.0001667,Load.3101.1,BUS1,PHASE_1,None
003102,smartmeter,3102,1,100,0.0001667,Load.3102.3,BUS1,PHASE_3,None
003103,smartmeter,3103,1,100,0.0001667,Load.3103.1,BUS1,PHASE_1,None
003104,smartmeter,3104,1,100,0.0001667,Load.3104.1,BUS1,PHASE_1,None
003105,smartmeter,3105,1,100,0.0001667,Load.3105.2,BUS1,PHASE_2,None
003106,smartmeter,3106,1,100,0.0001667,Load.3106.1,BUS1,PHASE_1,None
003107,smartmeter,3107,1,100,0.0001667,Load.3107.1,BUS1,PHASE_1,None
003108,smartmeter,3108,1,100,0.0001667,Load.3108.2,BUS1,PHASE_2,None
003109,smartmeter,3109,1,100,0.0001667,Load.3109.1,BUS1,PHASE_1,None
003110,smartmeter,3110,1,100,0.0001667,Load.3110.1,BUS1,PHASE_1,None
004056,smartmeter,4056,1,100,0.0001667,Load.4056.1,BUS1,PHASE_1,None
004057,smartmeter,4057,1,100,0.0001667,Load.4057.2,BUS1,PHASE_2,None
004058,smartmeter,4058,1,100,0.0001667,Load.4058.1,BUS1,PHASE_1,None
004059,smartmeter,4059,1,100,0.0001667,Load.4059.1,BUS1,PHASE_1,None
004060,smartmeter,4060,1,100,0.0001667,Load.4060.1,BUS1,PHASE_1,None
004061,smartmeter,4061,1,100,0.0001667,Load.4061.2,BUS1,PHASE_2,None
004062,smartmeter,4062,1,100,0.0001667,Load.4062.2,BUS1,PHASE_2,None
004063,smartmeter,4063,1,100,0.0001667,Load.4063.3,BUS1,PHASE_3,None
004064,smartmeter,4064,1,100,0.0001667,Load.4064.1,BUS1,PHASE_1,None
004065,smartmeter,4065,1,100,0.0001667,Load.4065.2,BUS1,PHASE_2,None
004066,smartmeter,4066,1,100,0.0001667,Load.4066.2,BUS1,PHASE_2,None
004067,smartmeter,4067,1,100,0.0001667,Load.4067.3,BUS1,PHASE_3,None
004068,smartmeter,4068,1,100,0.0001667,Load.4068.2,BUS1,PHASE_2,None
004069,smartmeter,4069,1,100,0.0001667,Load.4069.1,BUS1,PHASE_1,None
004070,smartmeter,4070,1,100,0.0001667,Load.4070.2,BUS1,PHASE_2,None
004071,smartmeter,4071,1,100,0.0001667,Load.4071.3,BUS1,PHASE_3,None
004072,smartmeter,4072,1,100,0.0001667,Load.4072.3,BUS1,PHASE_3,None
004073,smartmeter,4073,1,100,0.0001667,Load.4073.3,BUS1,PHASE_3,None
004074,smartmeter,4074,1,100,0.0001667,Load.4074.3,BUS1,PHASE_3,None
004075,smartmeter,4075,1,100,0.0001667,Load.4075.1,BUS1,PHASE_1,None
004076,smartmeter,4076,1,100,0.0001667,Load.4076.1,BUS1,PHASE_1,None
004077,smartmeter,4077,1,100,0.0001667,Load.4077.1,BUS1,PHASE_1,None
004078,smartmeter,4078,1,100,0.0001667,Load.4078.2,BUS1,PHASE_2,None
004079,smartmeter,4079,1,100,0.0001667,Load.4079.3,BUS1,PHASE_3,None
004080,smartmeter,4080,1,100,0.0001667,Load.4080.1,BUS1,PHASE_1,None
004081,smartmeter,4081,1,100,0.0001667,Load.4081.2,BUS1,PHASE_2,None
004082,smartmeter,4082,1,100,0.0001667,Load.4082.3,BUS1,PHASE_3,None
004083,smartmeter,4083,1,100,0.0001667,Load.4083.3,BUS1,PHASE_3,None
004084,smartmeter,4084,1,100,0.0001667,Load.4084.1,BUS1,PHASE_1,None
004085,smartmeter,4085,1,100,0.0001667,Load.4085.1,BUS1,PHASE_1,None
004086,smartmeter,4086,1,100,0.0001667,Load.4086.1,BUS1,PHASE_1,None
004087,smartmeter,4087,1,100,0.0001667,Load.4087.3,BUS1,PHASE_3,None
004088,smartmeter,4088,1,100,0.0001667,Load.4088.3,BUS1,PHASE_3,None
004089,smartmeter,4089,1,100,0.0001667,Load.4089.1,BUS1,PHASE_1,None
004090,smartmeter,4090,1,100,0.0001667,Load.4090.2,BUS1,PHASE_2,None
004091,smartmeter,4091,1,100,0.0001667,Load.4091.2,BUS1,PHASE_2,None
004092,smartmeter,4092,1,100,0.0001667,Load.4092.2,BUS1,PHASE_2,None
004093,smartmeter,4093,1,100,0.0001667,Load.4093.2,BUS1,PHASE_2,None
004094,smartmeter,4094,1,100,0.0001667,Load.4094.3,BUS1,PHASE_3,None
004095,smartmeter,4095,1,100,0.0001667,Load.4095.2,BUS1,PHASE_2,None
004096,smartmeter,4096,1,100,0.0001667,Load.4096.2,BUS1,PHASE_2,None
004097,smartmeter,4097,1,100,0.0001667,Load.4097.3,BUS1,PHASE_3,None
004098,smartmeter,4098,1,100,0.0001667,Load.4098.3,BUS1,PHASE_3,None
004099,smartmeter,4099,1,100,0.0001667,Load.4099.2,BUS1,PHASE_2,None
004100,smartmeter,4100,1,100,0.0001667,Load.4100.2,BUS1,PHASE_2,None
004101,smartmeter,4101,1,100,0.0001667,Load.4101.1,BUS1,PHASE_1,None
004102,smartmeter,4102,1,100,0.0001667,Load.4102.3,BUS1,PHASE_3,None
004103,smartmeter,4103,1,100,0.0001667,Load.4103.1,BUS1,PHASE_1,None
004104,smartmeter,4104,1,100,0.0001667,Load.4104.1,BUS1,PHASE_1,None
004105,smartmeter,4105,1,100,0.0001667,Load.4105.2,BUS1,PHASE_2,None
004106,smartmeter,4106,1,100,0.0001667,Load.4106.1,BUS1,PHASE_1,None
004107,smartmeter,4107,1,100,0.0001667,Load.4107.1,BUS1,PHASE_1,None
004108,smartmeter,4108,1,100,0.0001667,Load.4108.2,BUS1,PHASE_2,None
004109,smartmeter,4109,1,100,0.0001667,Load.4109.1,BUS1,PHASE_1,None
004110,smartmeter,4110,1,100,0.0001667,Load.4110.1,BUS1,PHASE_1,None
005056,smartmeter,5056,1,100,0.0001667,Load.5056.1,BUS1,PHASE_1,None
005057,smartmeter,5057,1,100,0.0001667,Load.5057.2,BUS1,PHASE_2,None
005058,smartmeter,5058,1,100,0.0001667,Load.5058.1,BUS1,PHASE_1,None
005059,smartmeter,5059,1,100,0.0001667,Load.5059.1,BUS1,PHASE_1,None
005060,smartmeter,5060,1,100,0.0001667,Load.5060.1,BUS1,PHASE_1,None
005061,smartmeter,5061,1,100,0.0001667,Load.5061.2,BUS1,PHASE_2,None
005062,smartmeter,5062,1,100,0.0001667,Load.5062.2,BUS1,PHASE_2,None
005063,smartmeter,5063,1,100,0.0001667,Load.5063.3,BUS1,PHASE_3,None
005064,smartmeter,5064,1,100,0.0001667,Load.5064.1,BUS1,PHASE_1,None
005065,smartmeter,5065,1,100,0.0001667,Load.5065.2,BUS1,PHASE_2,None
005066,smartmeter,5066,1,100,0.0001667,Load.5066.2,BUS1,PHASE_2,None
005067,smartmeter,5067,1,100,0.0001667,Load.5067.3,BUS1,PHASE_3,None
005068,smartmeter,5068,1,100,0.0001667,Load.5068.2,BUS1,PHASE_2,None
005069,smartmeter,5069,1,100,0.0001667,Load.5069.1,BUS1,PHASE_1,None
005070,smartmeter,5070,1,100,0.0001667,Load.5070.2,BUS1,PHASE_2,None
005071,smartmeter,5071,1,100,0.0001667,Load.5071.3,BUS1,PHASE_3,None
005072,smartmeter,5072,1,100,0.0001667,Load.5072.3,BUS1,PHASE_3,None
005073,smartmeter,5073,1,100,0.0001667,Load.5073.3,BUS1,PHASE_3,None
005074,smartmeter,5074,1,100,0.0001667,Load.5074.3,BUS1,PHASE_3,None
005075,smartmeter,5075,1,100,0.0001667,Load.5075.1,BUS1,PHASE_1,None
005076,smartmeter,5076,1,100,0.0001667,Load.5076.1,BUS1,PHASE_1,None
005077,smartmeter,5077,1,100,0.0001667,Load.5077.1,BUS1,PHASE_1,None
005078,smartmeter,5078,1,100,0.0001667,Load.5078.2,BUS1,PHASE_2,None
005079,smartmeter,5079,1,100,0.0001667,Load.5079.3,BUS1,PHASE_3,None
005080,smartmeter,5080,1,100,0.0001667,Load.5080.1,BUS1,PHASE_1,None
005081,smartmeter,5081,1,100,0.0001667,Load.5081.2,BUS1,PHASE_2,None
005082,smartmeter,5082,1,100,0.0001667,Load.5082.3,BUS1,PHASE_3,None
005083,smartmeter,5083,1,100,0.0001667,Load.5083.3,BUS1,PHASE_3,None
005084,smartmeter,5084,1,100,0.0001667,Load.5084.1,BUS1,PHASE_1,None
005085,smartmeter,5085,1,100,0.0001667,Load.5085.1,BUS1,PHASE_1,None
005086,smartmeter,5086,1,100,0.0001667,Load.5086.1,BUS1,PHASE_1,None
005087,smartmeter,5087,1,100,0.0001667,Load.5087.3,BUS1,PHASE_3,None
005088,smartmeter,5088,1,100,0.0001667,Load.5088.3,BUS1,PHASE_3,None
005089,smartmeter,5089,1,100,0.0001667,Load.5089.1,BUS1,PHASE_1,None
005090,smartmeter,5090,1,100,0.0001667,Load.5090.2,BUS1,PHASE_2,None
005091,smartmeter,5091,1,100,0.0001667,Load.5091.2,BUS1,PHASE_2,None
005092,smartmeter,5092,1,100,0.0001667,Load.5092.2,BUS1,PHASE_2,None
005093,smartmeter,5093,1,100,0.0001667,Load.5093.2,BUS1,PHASE_2,None
005094,smartmeter,5094,1,100,0.0001667,Load.5094.3,BUS1,PHASE_3,None
005095,smartmeter,5095,1,100,0.0001667,Load.5095.2,BUS1,PHASE_2,None
005096,smartmeter,5096,1,100,0.0001667,Load.5096.2,BUS1,PHASE_2,None
005097,smartmeter,5097,1,100,0.0001667,Load.5097.3,BUS1,PHASE_3,None
005098,smartmeter,5098,1,100,0.0001667,Load.5098.3,BUS1,PHASE_3,None
005099,smartmeter,5099,1,100,0.0001667,Load.5099.2,BUS1,PHASE_2,None
005100,smartmeter,5100,1,100,0.0001667,Load.5100.2,BUS1,PHASE_2,None
005101,smartmeter,5101,1,100,0.0001667,Load.5101.1,BUS1,PHASE_1,None
005102,smartmeter,5102,1,100,0.0001667,Load.5102.3,BUS1,PHASE_3,None
005103,smartmeter,5103,1,100,0.0001667,Load.5103.1,BUS1,PHASE_1,None
005104,smartmeter,5104,1,100,0.0001667,Load.5104.1,BUS1,PHASE_1,None
005105,smartmeter,5105,1,100,0.0001667,Load.5105.2,BUS1,PHASE_2,None
005106,smartmeter,5106,1,100,0.0001667,Load.5106.1,BUS1,PHASE_1,None
005107,smartmeter,5107,1,100,0.0001667,Load.5107.1,BUS1,PHASE_1,None
005108,smartmeter,5108,1,100,0.0001667,Load.5108.2,BUS1,PHASE_2,None
005109,smartmeter,5109,1,100,0.0001667,Load.5109.1,BUS1,PHASE_1,None
005110,smartmeter,5110,1,100,0.0001667,Load.5110.1,BUS1,PHASE_1,None
006056,smartmeter,6056,1,100,0.0001667,Load.6056.1,BUS1,PHASE_1,None
006057,smartmeter,6057,1,100,0.0001667,Load.6057.2,BUS1,PHASE_2,None
006058,smartmeter,6058,1,100,0.0001667,Load.6058.1,BUS1,PHASE_1,None
006059,smartmeter,6059,1,100,0.0001667,Load.6059.1,BUS1,PHASE_1,None
006060,smartmeter,6060,1,100,0.0001667,Load.6060.1,BUS1,PHASE_1,None
006061,smartmeter,6061,1,100,0.0001667,Load.6061.2,BUS1,PHASE_2,None
006062,smartmeter,6062,1,100,0.0001667,Load.6062.2,BUS1,PHASE_2,None
006063,smartmeter,6063,1,100,0.0001667,Load.6063.3,BUS1,PHASE_3,None
006064,smartmeter,6064,1,100,0.0001667,Load.6064.1,BUS1,PHASE_1,None
006065,smartmeter,6065,1,100,0.0001667,Load.6065.2,BUS1,PHASE_2,None
006066,smartmeter,6066,1,100,0.0001667,Load.6066.2,BUS1,PHASE_2,None
006067,smartmeter,6067,1,100,0.0001667,Load.6067.3,BUS1,PHASE_3,None
006068,smartmeter,6068,1,100,0.0001667,Load.6068.2,BUS1,PHASE_2,None
006069,smartmeter,6069,1,100,0.0001667,Load.6069.1,BUS1,PHASE_1,None
006070,smartmeter,6070,1,100,0.0001667,Load.6070.2,BUS1,PHASE_2,None
006071,smartmeter,6071,1,100,0.0001667,Load.6071.3,BUS1,PHASE_3,None
006072,smartmeter,6072,1,100,0.0001667,Load.6072.3,BUS1,PHASE_3,None
006073,smartmeter,6073,1,100,0.0001667,Load.6073.3,BUS1,PHASE_3,None
006074,smartmeter,6074,1,100,0.0001667,Load.6074.3,BUS1,PHASE_3,None
006075,smartmeter,6075,1,100,0.0001667,Load.6075.1,BUS1,PHASE_1,None
006076,smartmeter,6076,1,100,0.0001667,Load.6076.1,BUS1,PHASE_1,None
006077,smartmeter,6077,1,100,0.0001667,Load.6077.1,BUS1,PHASE_1,None
006078,smartmeter,6078,1,100,0.0001667,Load.6078.2,BUS1,PHASE_2,None
006079,smartmeter,6079,1,100,0.0001667,Load.6079.3,BUS1,PHASE_3,None
006080,smartmeter,6080,1,100,0.0001667,Load.6080.1,BUS1,PHASE_1,None
006081,smartmeter,6081,1,100,0.0001667,Load.6081.2,BUS1,PHASE_2,None
006082,smartmeter,6082,1,100,0.0001667,Load.6082.3,BUS1,PHASE_3,None
006083,smartmeter,6083,1,100,0.0001667,Load.6083.3,BUS1,PHASE_3,None
006084,smartmeter,6084,1,100,0.0001667,Load.6084.1,BUS1,PHASE_1,None
006085,smartmeter,6085,1,100,0.0001667,Load.6085.1,BUS1,PHASE_1,None
006086,smartmeter,6086,1,100,0.0001667,Load.6086.1,BUS1,PHASE_1,None
006087,smartmeter,6087,1,100,0.0001667,Load.6087.3,BUS1,PHASE_3,None
006088,smartmeter,6088,1,100,0.0001667,Load.6088.3,BUS1,PHASE_3,None
006089,smartmeter,6089,1,100,0.0001667,Load.6089.1,BUS1,PHASE_1,None
006090,smartmeter,6090,1,100,0.0001667,Load.6090.2,BUS1,PHASE_2,None
006091,smartmeter,6091,1,100,0.0001667,Load.6091.2,BUS1,PHASE_2,None
006092,smartmeter,6092,1,100,0.0001667,Load.6092.2,BUS1,PHASE_2,None
006093,smartmeter,6093,1,100,0.0001667,Load.6093.2,BUS1,PHASE_2,None
006094,smartmeter,6094,1,100,0.0001667,Load.6094.3,BUS1,PHASE_3,None
006095,smartmeter,6095,1,100,0.0001667,Load.6095.2,BUS1,PHASE_2,None
006096,smartmeter,6096,1,100,0.0001667,Load.6096.2,BUS1,PHASE_2,None
006097,smartmeter,6097,1,100,0.0001667,Load.6097.3,BUS1,PHASE_3,None
006098,smartmeter,6098,1,100,0.0001667,Load.6098.3,BUS1,PHASE_3,None
006099,smartmeter,6099,1,100,0.0001667,Load.6099.2,BUS1,PHASE_2,None
006100,smartmeter,6100,1,100,0.0001667,Load.6100.2,BUS1,PHASE_2,None
006101,smartmeter,6101,1,100,0.0001667,Load.6101.1,BUS1,PHASE_1,None
006102,smartmeter,6102,1,100,0.0001667,Load.6102.3,BUS1,PHASE_3,None
006103,smartmeter,6103,1,100,0.0001667,Load.6103.1,BUS1,PHASE_1,None
006104,smartmeter,6104,1,100,0.0001667,Load.6104.1,BUS1,PHASE_1,None
006105,smartmeter,6105,1,100,0.0001667,Load.6105.2,BUS1,PHASE_2,None
006106,smartmeter,6106,1,100,0.0001667,Load.6106.1,BUS1,PHASE_1,None
006107,smartmeter,6107,1,100,0.0001667,Load.6107.1,BUS1,PHASE_1,None
006108,smartmeter,6108,1,100,0.0001667,Load.6108.2,BUS1,PHASE_2,None
006109,smartmeter,6109,1,100,0.0001667,Load.6109.1,BUS1,PHASE_1,None
006110,smartmeter,6110,1,100,0.0001667,Load.6110.1,BUS1,PHASE_1,None
007056,smartmeter,7056,1,100,0.0001667,Load.7056.1,BUS1,PHASE_1,None
007057,smartmeter,7057,1,100,0.0001667,Load.7057.2,BUS1,PHASE_2,None
007058,smartmeter,7058,1,100,0.0001667,Load.7058.1,BUS1,PHASE_1,None
007059,smartmeter,7059,1,100,0.0001667,Load.7059.1,BUS1,PHASE_1,None
007060,smartmeter,7060,1,100,0.0001667,Load.7060.1,BUS1,PHASE_1,None
007061,smartmeter,7061,1,100,0.0001667,Load.7061.2,BUS1,PHASE_2,None
007062,smartmeter,7062,1,100,0.0001667,Load.7062.2,BUS1,PHASE_2,None
007063,smartmeter,7063,1,100,0.0001667,Load.7063.3,BUS1,PHASE_3,None
007064,smartmeter,7064,1,100,0.0001667,Load.7064.1,BUS1,PHASE_1,None
007065,smartmeter,7065,1,100,0.0001667,Load.7065.2,BUS1,PHASE_2,None
007066,smartmeter,7066,1,100,0.0001667,Load.7066.2,BUS1,PHASE_2,None
007067,smartmeter,7067,1,100,0.0001667,Load.7067.3,BUS1,PHASE_3,None
