idn,type,src,dst,period,error,cktElement,cktTerminal,cktPhase,cktProperty
100093,smartmeter,9,1,10,0.0001667,Load.9.3,BUS1,PHASE_3,None
100101,smartmeter,10,1,10,0.0001667,Load.10.1,BUS1,PHASE_1,None
100102,smartmeter,10,1,10,0.0001667,Load.10.2,BUS1,PHASE_2,None
100103,smartmeter,10,1,10,0.0001667,Load.10.3,BUS1,PHASE_3,None
100111,smartmeter,11,1,10,0.0001667,Load.11.1,BUS1,PHASE_1,None
100112,smartmeter,11,1,10,0.0001667,Load.11.2,BUS1,PHASE_2,None
100113,smartmeter,11,1,10,0.0001667,Load.11.3,BUS1,PHASE_3,None
100121,smartmeter,12,1,10,0.0001667,Load.12.1,BUS1,PHASE_1,None
100122,smartmeter,12,1,10,0.0001667,Load.12.2,BUS1,PHASE_2,None
100123,smartmeter,12,1,10,0.0001667,Load.12.3,BUS1,PHASE_3,None
100131,smartmeter,13,1,10,0.0001667,Load.13.1,BUS1,PHASE_1,None
1100132,smartmeter,13,1,10,0.0001667,Load.13.2,BUS1,PHASE_2,None
100133,smartmeter,13,1,10,0.0001667,Load.13.3,BUS1,PHASE_3,None
100141,smartmeter,14,1,10,0.0001667,Load.14.1,BUS1,PHASE_1,None
100142,smartmeter,14,1,10,0.0001667,Load.14.2,BUS1,PHASE_2,None
100143,smartmeter,14,1,10,0.0001667,Load.14.3,BUS1,PHASE_3,None
100151,smartmeter,15,1,10,0.0001667,Load.15.1,BUS1,PHASE_1,None
100152,smartmeter,15,1,10,0.0001667,Load.15.2,BUS1,PHASE_2,None
100153,smartmeter,15,1,10,0.0001667,Load.15.3,BUS1,PHASE_3,None
100161,smartmeter,16,1,10,0.0001667,Load.16.1,BUS1,PHASE_1,None
100162,smartmeter,16,1,10,0.0001667,Load.16.2,BUS1,PHASE_2,None
100163,smartmeter,16,1,10,0.0001667,Load.16.3,BUS1,PHASE_3,None
100171,smartmeter,17,1,10,0.0001667,Load.17.1,BUS1,PHASE_1,None
100172,smartmeter,17,1,10,0.0001667,Load.17.2,BUS1,PHASE_2,None
100173,smartmeter,17,1,10,0.0001667,Load.17.3,BUS1,PHASE_3,None
100181,smartmeter,18,1,10,0.0001667,Load.18.1,BUS1,PHASE_1,None
100182,smartmeter,18,1,10,0.0001667,Load.18.2,BUS1,PHASE_2,None
100183,smartmeter,18,1,10,0.0001667,Load.18.3,BUS1,PHASE_3,None
100191,smartmeter,19,1,10,0.0001667,Load.19.1,BUS1,PHASE_1,None
100192,smartmeter,19,1,10,0.0001667,Load.19.2,BUS1,PHASE_2,None
100193,smartmeter,19,1,10,0.0001667,Load.19.3,BUS1,PHASE_3,None
100201,smartmeter,20,1,10,0.0001667,Load.20.1,BUS1,PHASE_1,None
100202,smartmeter,20,1,10,0.0001667,Load.20.2,BUS1,PHASE_2,None
100203,smartmeter,20,1,10,0.0001667,Load.20.3,BUS1,PHASE_3,None
100211,smartmeter,21,1,10,0.0001667,Load.21.1,BUS1,PHASE_1,None
100212,smartmeter,21,1,10,0.0001667,Load.21.2,BUS1,PHASE_2,None
100213,smartmeter,21,1,10,0.0001667,Load.21.3,BUS1,PHASE_3,None
100221,smartmeter,22,1,10,0.0001667,Load.22.1,BUS1,PHASE_1,None
100222,smartmeter,22,1,10,0.0001667,Load.22.2,BUS1,PHASE_2,None
100223,smartmeter,22,1,10,0.0001667,Load.22.3,BUS1,PHASE_3,None
100231,smartmeter,23,1,10,0.0001667,Load.23.1,BUS1,PHASE_1,None
100232,smartmeter,23,1,10,0.0001667,Load.23.2,BUS1,PHASE_2,None
100233,smartmeter,23,1,10,0.0001667,Load.23.3,BUS1,PHASE_3,None
100241,smartmeter,24,1,10,0.0001667,Load.24.1,BUS1,PHASE_1,None
100242,smartmeter,24,1,10,0.0001667,Load.24.2,BUS1,PHASE_2,None
100243,smartmeter,24,1,10,0.0001667,Load.24.3,BUS1,PHASE_3,None
100251,smartmeter,25,1,10,0.0001667,Load.25.1,BUS1,PHASE_1,None
100252,smartmeter,25,1,10,0.0001667,Load.25.2,BUS1,PHASE_2,None
100253,smartmeter,25,1,10,0.0001667,Load.25.3,BUS1,PHASE_3,None
100261,smartmeter,26,1,10,0.0001667,Load.26.1,BUS1,PHASE_1,None
100262,smartmeter,26,1,10,0.0001667,Load.26.2,BUS1,PHASE_2,None
100263,smartmeter,26,1,10,0.0001667,Load.26.3,BUS1,PHASE_3,None
100271,smartmeter,27,1,10,0.0001667,Load.27.1,BUS1,PHASE_1,None
100272,smartmeter,27,1,10,0.0001667,Load.27.2,BUS1,PHASE_2,None
100273,smartmeter,27,1,10,0.0001667,Load.27.3,BUS1,PHASE_3,None
100281,smartmeter,28,1,10,0.0001667,Load.28.1,BUS1,PHASE_1,None
100282,smartmeter,28,1,10,0.0001667,Load.28.2,BUS1,PHASE_2,None
100283,smartmeter,28,1,10,0.0001667,Load.28.3,BUS1,PHASE_3,None
100291,smartmeter,29,1,10,0.0001667,Load.29.1,BUS1,PHASE_1,None
100292,smartmeter,29,1,10,0.0001667,Load.29.2,BUS1,PHASE_2,None
100293,smartmeter,29,1,10,0.0001667,Load.29.3,BUS1,PHASE_3,None
100301,smartmeter,30,1,10,0.0001667,Load.30.1,BUS1,PHASE_1,None
100302,smartmeter,30,1,10,0.0001667,Load.30.2,BUS1,PHASE_2,None
100303,smartmeter,30,1,10,0.0001667,Load.30.3,BUS1,PHASE_3,None
100311,smartmeter,31,1,10,0.0001667,Load.31.1,BUS1,PHASE_1,None
100312,smartmeter,31,1,10,0.0001667,Load.31.2,BUS1,PHASE_2,None
100313,smartmeter,31,1,10,0.0001667,Load.31.3,BUS1,PHASE_3,None
100321,smartmeter,32,1,10,0.0001667,Load.32.1,BUS1,PHASE_1,None
100322,smartmeter,32,1,10,0.0001667,Load.32.2,BUS1,PHASE_2,None
100323,smartmeter,32,1,10,0.0001667,Load.32.3,BUS1,PHASE_3,None
100331,smartmeter,33,1,10,0.0001667,Load.33.1,BUS1,PHASE_1,None
100332,smartmeter,33,1,10,0.0001667,Load.33.2,BUS1,PHASE_2,None
100333,smartmeter,33,1,10,0.0001667,Load.33.3,BUS1,PHASE_3,None
