type,src,dst,cidx,didx,period,error,cktElement,cktTerminal,cktPhase,cktProperty
SmartMeter,3074,,0,0,20,1.667e-05,Load.3074,BUS1,PHASE_3,None
SmartMeter,3075,,0,0,20,1.667e-05,Load.3075,BUS1,PHASE_1,None
SmartMeter,3076,,0,0,20,1.667e-05,Load.3076,BUS1,PHASE_1,None
SmartMeter,3077,,0,0,20,1.667e-05,Load.3077,BUS1,PHASE_1,None
SmartMeter,3078,,0,0,20,1.667e-05,Load.3078,BUS1,PHASE_2,None
SmartMeter,3079,,0,0,20,1.667e-05,Load.3079,BUS1,PHASE_3,None
SmartMeter,3080,,0,0,20,1.667e-05,Load.3080,BUS1,PHASE_1,None
SmartMeter,3081,,0,0,20,1.667e-05,Load.3081,BUS1,PHASE_2,None
SmartMeter,3082,,0,0,20,1.667e-05,Load.3082,BUS1,PHASE_3,None
SmartMeter,3083,,0,0,20,1.667e-05,Load.3083,BUS1,PHASE_3,None
SmartMeter,3084,,0,0,20,1.667e-05,Load.3084,BUS1,PHASE_1,None
SmartMeter,3085,,0,0,20,1.667e-05,Load.3085,BUS1,PHASE_1,None
SmartMeter,3086,,0,0,20,1.667e-05,Load.3086,BUS1,PHASE_1,None
SmartMeter,3087,,0,0,20,1.667e-05,Load.3087,BUS1,PHASE_3,None
SmartMeter,3088,,0,0,20,1.667e-05,Load.3088,BUS1,PHASE_3,None
SmartMeter,3089,,0,0,20,1.667e-05,Load.3089,BUS1,PHASE_1,None
SmartMeter,3090,,0,0,20,1.667e-05,Load.3090,BUS1,PHASE_2,None
SmartMeter,3091,,0,0,20,1.667e-05,Load.3091,BUS1,PHASE_2,None
SmartMeter,3092,,0,0,20,1.667e-05,Load.3092,BUS1,PHASE_2,None
SmartMeter,3093,,0,0,20,1.667e-05,Load.3093,BUS1,PHASE_2,None
SmartMeter,3094,,0,0,20,1.667e-05,Load.3094,BUS1,PHASE_3,None
SmartMeter,3095,,0,0,20,1.667e-05,Load.3095,BUS1,PHASE_2,None
SmartMeter,3096,,0,0,20,1.667e-05,Load.3096,BUS1,PHASE_2,None
SmartMeter,3097,,0,0,20,1.667e-05,Load.3097,BUS1,PHASE_3,None
SmartMeter,3098,,0,0,20,1.667e-05,Load.3098,BUS1,PHASE_3,None
SmartMeter,3099,,0,0,20,1.667e-05,Load.3099,BUS1,PHASE_2,None
SmartMeter,3100,,0,0,20,1.667e-05,Load.3100,BUS1,PHASE_2,None
SmartMeter,3101,,0,0,20,1.667e-05,Load.3101,BUS1,PHASE_1,None
SmartMeter,3102,,0,0,20,1.667e-05,Load.3102,BUS1,PHASE_3,None
SmartMeter,3103,,0,0,20,1.667e-05,Load.3103,BUS1,PHASE_1,None
SmartMeter,3104,,0,0,20,1.667e-05,Load.3104,BUS1,PHASE_1,None
SmartMeter,3105,,0,0,20,1.667e-05,Load.3105,BUS1,PHASE_2,None
SmartMeter,3106,,0,0,20,1.667e-05,Load.3106,BUS1,PHASE_1,None
SmartMeter,3107,,0,0,20,1.667e-05,Load.3107,BUS1,PHASE_1,None
SmartMeter,3108,,0,0,20,1.667e-05,Load.3108,BUS1,PHASE_2,None
SmartMeter,3109,,0,0,20,1.667e-05,Load.3109,BUS1,PHASE_1,None
SmartMeter,3110,,0,0,20,1.667e-05,Load.3110,BUS1,PHASE_1,None
SmartMeter,4056,,0,0,20,1.667e-05,Load.4056,BUS1,PHASE_1,None
SmartMeter,4057,,0,0,20,1.667e-05,Load.4057,BUS1,PHASE_2,None
SmartMeter,4058,,0,0,20,1.667e-05,Load.4058,BUS1,PHASE_1,None
SmartMeter,4059,,0,0,20,1.667e-05,Load.4059,BUS1,PHASE_1,None
SmartMeter,4060,,0,0,20,1.667e-05,Load.4060,BUS1,PHASE_1,None
SmartMeter,4061,,0,0,20,1.667e-05,Load.4061,BUS1,PHASE_2,None
SmartMeter,4062,,0,0,20,1.667e-05,Load.4062,BUS1,PHASE_2,None
SmartMeter,4063,,0,0,20,1.667e-05,Load.4063,BUS1,PHASE_3,None
SmartMeter,4064,,0,0,20,1.667e-05,Load.4064,BUS1,PHASE_1,None
SmartMeter,4065,,0,0,20,1.667e-05,Load.4065,BUS1,PHASE_2,None
SmartMeter,4066,,0,0,20,1.667e-05,Load.4066,BUS1,PHASE_2,None
SmartMeter,4067,,0,0,20,1.667e-05,Load.4067,BUS1,PHASE_3,None
SmartMeter,4068,,0,0,20,1.667e-05,Load.4068,BUS1,PHASE_2,None
SmartMeter,4069,,0,0,20,1.667e-05,Load.4069,BUS1,PHASE_1,None
SmartMeter,4070,,0,0,20,1.667e-05,Load.4070,BUS1,PHASE_2,None
SmartMeter,4071,,0,0,20,1.667e-05,Load.4071,BUS1,PHASE_3,None
SmartMeter,4072,,0,0,20,1.667e-05,Load.4072,BUS1,PHASE_3,None
SmartMeter,4073,,0,0,20,1.667e-05,Load.4073,BUS1,PHASE_3,None
SmartMeter,4074,,0,0,20,1.667e-05,Load.4074,BUS1,PHASE_3,None
SmartMeter,4075,,0,0,20,1.667e-05,Load.4075,BUS1,PHASE_1,None
SmartMeter,4076,,0,0,20,1.667e-05,Load.4076,BUS1,PHASE_1,None
SmartMeter,4077,,0,0,20,1.667e-05,Load.4077,BUS1,PHASE_1,None
SmartMeter,4078,,0,0,20,1.667e-05,Load.4078,BUS1,PHASE_2,None
SmartMeter,4079,,0,0,20,1.667e-05,Load.4079,BUS1,PHASE_3,None
SmartMeter,4080,,0,0,20,1.667e-05,Load.4080,BUS1,PHASE_1,None
SmartMeter,4081,,0,0,20,1.667e-05,Load.4081,BUS1,PHASE_2,None
SmartMeter,4082,,0,0,20,1.667e-05,Load.4082,BUS1,PHASE_3,None
SmartMeter,4083,,0,0,20,1.667e-05,Load.4083,BUS1,PHASE_3,None
SmartMeter,4084,,0,0,20,1.667e-05,Load.4084,BUS1,PHASE_1,None
SmartMeter,4085,,0,0,20,1.667e-05,Load.4085,BUS1,PHASE_1,None
SmartMeter,4086,,0,0,20,1.667e-05,Load.4086,BUS1,PHASE_1,None
SmartMeter,4087,,0,0,20,1.667e-05,Load.4087,BUS1,PHASE_3,None
SmartMeter,4088,,0,0,20,1.667e-05,Load.4088,BUS1,PHASE_3,None
SmartMeter,4089,,0,0,20,1.667e-05,Load.4089,BUS1,PHASE_1,None
SmartMeter,4090,,0,0,20,1.667e-05,Load.4090,BUS1,PHASE_2,None
SmartMeter,4091,,0,0,20,1.667e-05,Load.4091,BUS1,PHASE_2,None
SmartMeter,4092,,0,0,20,1.667e-05,Load.4092,BUS1,PHASE_2,None
SmartMeter,4093,,0,0,20,1.667e-05,Load.4093,BUS1,PHASE_2,None
SmartMeter,4094,,0,0,20,1.667e-05,Load.4094,BUS1,PHASE_3,None
SmartMeter,4095,,0,0,20,1.667e-05,Load.4095,BUS1,PHASE_2,None
SmartMeter,4096,,0,0,20,1.667e-05,Load.4096,BUS1,PHASE_2,None
SmartMeter,4097,,0,0,20,1.667e-05,Load.4097,BUS1,PHASE_3,None
SmartMeter,4098,,0,0,20,1.667e-05,Load.4098,BUS1,PHASE_3,None
SmartMeter,4099,,0,0,20,1.667e-05,Load.4099,BUS1,PHASE_2,None
SmartMeter,4100,,0,0,20,1.667e-05,Load.4100,BUS1,PHASE_2,None
SmartMeter,4101,,0,0,20,1.667e-05,Load.4101,BUS1,PHASE_1,None
SmartMeter,4102,,0,0,20,1.667e-05,Load.4102,BUS1,PHASE_3,None
SmartMeter,4103,,0,0,20,1.667e-05,Load.4103,BUS1,PHASE_1,None
SmartMeter,4104,,0,0,20,1.667e-05,Load.4104,BUS1,PHASE_1,None
SmartMeter,4105,,0,0,20,1.667e-05,Load.4105,BUS1,PHASE_2,None
SmartMeter,4106,,0,0,20,1.667e-05,Load.4106,BUS1,PHASE_1,None
SmartMeter,4107,,0,0,20,1.667e-05,Load.4107,BUS1,PHASE_1,None
SmartMeter,4108,,0,0,20,1.667e-05,Load.4108,BUS1,PHASE_2,None
SmartMeter,4109,,0,0,20,1.667e-05,Load.4109,BUS1,PHASE_1,None
SmartMeter,4110,,0,0,20,1.667e-05,Load.4110,BUS1,PHASE_1,None
SmartMeter,5056,,0,0,20,1.667e-05,Load.5056,BUS1,PHASE_1,None
SmartMeter,5057,,0,0,20,1.667e-05,Load.5057,BUS1,PHASE_2,None
SmartMeter,5058,,0,0,20,1.667e-05,Load.5058,BUS1,PHASE_1,None
SmartMeter,5059,,0,0,20,1.667e-05,Load.5059,BUS1,PHASE_1,None
SmartMeter,5060,,0,0,20,1.667e-05,Load.5060,BUS1,PHASE_1,None
SmartMeter,5061,,0,0,20,1.667e-05,Load.5061,BUS1,PHASE_2,None
SmartMeter,5062,,0,0,20,1.667e-05,Load.5062,BUS1,PHASE_2,None
SmartMeter,5063,,0,0,20,1.667e-05,Load.5063,BUS1,PHASE_3,None
SmartMeter,5064,,0,0,20,1.667e-05,Load.5064,BUS1,PHASE_1,None
SmartMeter,5065,,0,0,20,1.667e-05,Load.5065,BUS1,PHASE_2,None
SmartMeter,5066,,0,0,20,1.667e-05,Load.5066,BUS1,PHASE_2,None
SmartMeter,5067,,0,0,20,1.667e-05,Load.5067,BUS1,PHASE_3,None
SmartMeter,5068,,0,0,20,1.667e-05,Load.5068,BUS1,PHASE_2,None
SmartMeter,5069,,0,0,20,1.667e-05,Load.5069,BUS1,PHASE_1,None
SmartMeter,5070,,0,0,20,1.667e-05,Load.5070,BUS1,PHASE_2,None
SmartMeter,5071,,0,0,20,1.667e-05,Load.5071,BUS1,PHASE_3,None
SmartMeter,5072,,0,0,20,1.667e-05,Load.5072,BUS1,PHASE_3,None
SmartMeter,5073,,0,0,20,1.667e-05,Load.5073,BUS1,PHASE_3,None
SmartMeter,5074,,0,0,20,1.667e-05,Load.5074,BUS1,PHASE_3,None
SmartMeter,5075,,0,0,20,1.667e-05,Load.5075,BUS1,PHASE_1,None
SmartMeter,5076,,0,0,20,1.667e-05,Load.5076,BUS1,PHASE_1,None
SmartMeter,5077,,0,0,20,1.667e-05,Load.5077,BUS1,PHASE_1,None
SmartMeter,5078,,0,0,20,1.667e-05,Load.5078,BUS1,PHASE_2,None
SmartMeter,5079,,0,0,20,1.667e-05,Load.5079,BUS1,PHASE_3,None
SmartMeter,5080,,0,0,20,1.667e-05,Load.5080,BUS1,PHASE_1,None
SmartMeter,5081,,0,0,20,1.667e-05,Load.5081,BUS1,PHASE_2,None
SmartMeter,5082,,0,0,20,1.667e-05,Load.5082,BUS1,PHASE_3,None
SmartMeter,5083,,0,0,20,1.667e-05,Load.5083,BUS1,PHASE_3,None
SmartMeter,5084,,0,0,20,1.667e-05,Load.5084,BUS1,PHASE_1,None
SmartMeter,5085,,0,0,20,1.667e-05,Load.5085,BUS1,PHASE_1,None
SmartMeter,5086,,0,0,20,1.667e-05,Load.5086,BUS1,PHASE_1,None
SmartMeter,5087,,0,0,20,1.667e-05,Load.5087,BUS1,PHASE_3,None
SmartMeter,5088,,0,0,20,1.667e-05,Load.5088,BUS1,PHASE_3,None
SmartMeter,5089,,0,0,20,1.667e-05,Load.5089,BUS1,PHASE_1,None
SmartMeter,5090,,0,0,20,1.667e-05,Load.5090,BUS1,PHASE_2,None
SmartMeter,5091,,0,0,20,1.667e-05,Load.5091,BUS1,PHASE_2,None
SmartMeter,5092,,0,0,20,1.667e-05,Load.5092,BUS1,PHASE_2,None
SmartMeter,5093,,0,0,20,1.667e-05,Load.5093,BUS1,PHASE_2,None
SmartMeter,5094,,0,0,20,1.667e-05,Load.5094,BUS1,PHASE_3,None
SmartMeter,5095,,0,0,20,1.667e-05,Load.5095,BUS1,PHASE_2,None
SmartMeter,5096,,0,0,20,1.667e-05,Load.5096,BUS1,PHASE_2,None
SmartMeter,5097,,0,0,20,1.667e-05,Load.5097,BUS1,PHASE_3,None
SmartMeter,5098,,0,0,20,1.667e-05,Load.5098,BUS1,PHASE_3,None
SmartMeter,5099,,0,0,20,1.667e-05,Load.5099,BUS1,PHASE_2,None
SmartMeter,5100,,0,0,20,1.667e-05,Load.5100,BUS1,PHASE_2,None
SmartMeter,5101,,0,0,20,1.667e-05,Load.5101,BUS1,PHASE_1,None
SmartMeter,5102,,0,0,20,1.667e-05,Load.5102,BUS1,PHASE_3,None
SmartMeter,5103,,0,0,20,1.667e-05,Load.5103,BUS1,PHASE_1,None
SmartMeter,5104,,0,0,20,1.667e-05,Load.5104,BUS1,PHASE_1,None
SmartMeter,5105,,0,0,20,1.667e-05,Load.5105,BUS1,PHASE_2,None
SmartMeter,5106,,0,0,20,1.667e-05,Load.5106,BUS1,PHASE_1,None
SmartMeter,5107,,0,0,20,1.667e-05,Load.5107,BUS1,PHASE_1,None
SmartMeter,5108,,0,0,20,1.667e-05,Load.5108,BUS1,PHASE_2,None
SmartMeter,5109,,0,0,20,1.667e-05,Load.5109,BUS1,PHASE_1,None
SmartMeter,5110,,0,0,20,1.667e-05,Load.5110,BUS1,PHASE_1,None
SmartMeter,6056,,0,0,20,1.667e-05,Load.6056,BUS1,PHASE_1,None
SmartMeter,6057,,0,0,20,1.667e-05,Load.6057,BUS1,PHASE_2,None
SmartMeter,6058,,0,0,20,1.667e-05,Load.6058,BUS1,PHASE_1,None
SmartMeter,6059,,0,0,20,1.667e-05,Load.6059,BUS1,PHASE_1,None
SmartMeter,6060,,0,0,20,1.667e-05,Load.6060,BUS1,PHASE_1,None
SmartMeter,6061,,0,0,20,1.667e-05,Load.6061,BUS1,PHASE_2,None
SmartMeter,6062,,0,0,20,1.667e-05,Load.6062,BUS1,PHASE_2,None
SmartMeter,6063,,0,0,20,1.667e-05,Load.6063,BUS1,PHASE_3,None
SmartMeter,6064,,0,0,20,1.667e-05,Load.6064,BUS1,PHASE_1,None
SmartMeter,6065,,0,0,20,1.667e-05,Load.6065,BUS1,PHASE_2,None
SmartMeter,6066,,0,0,20,1.667e-05,Load.6066,BUS1,PHASE_2,None
SmartMeter,6067,,0,0,20,1.667e-05,Load.6067,BUS1,PHASE_3,None
SmartMeter,6068,,0,0,20,1.667e-05,Load.6068,BUS1,PHASE_2,None
SmartMeter,6069,,0,0,20,1.667e-05,Load.6069,BUS1,PHASE_1,None
SmartMeter,6070,,0,0,20,1.667e-05,Load.6070,BUS1,PHASE_2,None
SmartMeter,6071,,0,0,20,1.667e-05,Load.6071,BUS1,PHASE_3,None
SmartMeter,6072,,0,0,20,1.667e-05,Load.6072,BUS1,PHASE_3,None
SmartMeter,6073,,0,0,20,1.667e-05,Load.6073,BUS1,PHASE_3,None
SmartMeter,6074,,0,0,20,1.667e-05,Load.6074,BUS1,PHASE_3,None
SmartMeter,6075,,0,0,20,1.667e-05,Load.6075,BUS1,PHASE_1,None
SmartMeter,6076,,0,0,20,1.667e-05,Load.6076,BUS1,PHASE_1,None
SmartMeter,6077,,0,0,20,1.667e-05,Load.6077,BUS1,PHASE_1,None
SmartMeter,6078,,0,0,20,1.667e-05,Load.6078,BUS1,PHASE_2,None
SmartMeter,6079,,0,0,20,1.667e-05,Load.6079,BUS1,PHASE_3,None
SmartMeter,6080,,0,0,20,1.667e-05,Load.6080,BUS1,PHASE_1,None
SmartMeter,6081,,0,0,20,1.667e-05,Load.6081,BUS1,PHASE_2,None
SmartMeter,6082,,0,0,20,1.667e-05,Load.6082,BUS1,PHASE_3,None
SmartMeter,6083,,0,0,20,1.667e-05,Load.6083,BUS1,PHASE_3,None
SmartMeter,6084,,0,0,20,1.667e-05,Load.6084,BUS1,PHASE_1,None
SmartMeter,6085,,0,0,20,1.667e-05,Load.6085,BUS1,PHASE_1,None
SmartMeter,6086,,0,0,20,1.667e-05,Load.6086,BUS1,PHASE_1,None
SmartMeter,6087,,0,0,20,1.667e-05,Load.6087,BUS1,PHASE_3,None
SmartMeter,6088,,0,0,20,1.667e-05,Load.6088,BUS1,PHASE_3,None
SmartMeter,6089,,0,0,20,1.667e-05,Load.6089,BUS1,PHASE_1,None
SmartMeter,6090,,0,0,20,1.667e-05,Load.6090,BUS1,PHASE_2,None
SmartMeter,6091,,0,0,20,1.667e-05,Load.6091,BUS1,PHASE_2,None
SmartMeter,6092,,0,0,20,1.667e-05,Load.6092,BUS1,PHASE_2,None
SmartMeter,6093,,0,0,20,1.667e-05,Load.6093,BUS1,PHASE_2,None
SmartMeter,6094,,0,0,20,1.667e-05,Load.6094,BUS1,PHASE_3,None
SmartMeter,6095,,0,0,20,1.667e-05,Load.6095,BUS1,PHASE_2,None
SmartMeter,6096,,0,0,20,1.667e-05,Load.6096,BUS1,PHASE_2,None
SmartMeter,6097,,0,0,20,1.667e-05,Load.6097,BUS1,PHASE_3,None
SmartMeter,6098,,0,0,20,1.667e-05,Load.6098,BUS1,PHASE_3,None
SmartMeter,6099,,0,0,20,1.667e-05,Load.6099,BUS1,PHASE_2,None
SmartMeter,6100,,0,0,20,1.667e-05,Load.6100,BUS1,PHASE_2,None
SmartMeter,6101,,0,0,20,1.667e-05,Load.6101,BUS1,PHASE_1,None
SmartMeter,6102,,0,0,20,1.667e-05,Load.6102,BUS1,PHASE_3,None
SmartMeter,6103,,0,0,20,1.667e-05,Load.6103,BUS1,PHASE_1,None
SmartMeter,6104,,0,0,20,1.667e-05,Load.6104,BUS1,PHASE_1,None
SmartMeter,6105,,0,0,20,1.667e-05,Load.6105,BUS1,PHASE_2,None
SmartMeter,6106,,0,0,20,1.667e-05,Load.6106,BUS1,PHASE_1,None
SmartMeter,6107,,0,0,20,1.667e-05,Load.6107,BUS1,PHASE_1,None
SmartMeter,6108,,0,0,20,1.667e-05,Load.6108,BUS1,PHASE_2,None
SmartMeter,6109,,0,0,20,1.667e-05,Load.6109,BUS1,PHASE_1,None
SmartMeter,6110,,0,0,20,1.667e-05,Load.6110,BUS1,PHASE_1,None
SmartMeter,7056,,0,0,20,1.667e-05,Load.7056,BUS1,PHASE_1,None
SmartMeter,7057,,0,0,20,1.667e-05,Load.7057,BUS1,PHASE_2,None
SmartMeter,7058,,0,0,20,1.667e-05,Load.7058,BUS1,PHASE_1,None
SmartMeter,7059,,0,0,20,1.667e-05,Load.7059,BUS1,PHASE_1,None
SmartMeter,7060,,0,0,20,1.667e-05,Load.7060,BUS1,PHASE_1,None
SmartMeter,7061,,0,0,20,1.667e-05,Load.7061,BUS1,PHASE_2,None
SmartMeter,7062,,0,0,20,1.667e-05,Load.7062,BUS1,PHASE_2,None
SmartMeter,7063,,0,0,20,1.667e-05,Load.7063,BUS1,PHASE_3,None
SmartMeter,7064,,0,0,20,1.667e-05,Load.7064,BUS1,PHASE_1,None
